route_id,vehicle_id,vehicle_registration,relocation_cost_pln,service_cost_pln,penalty_cost_pln,total_assignment_cost
1,4,PO6986J,0.0,0.0,0.0,0.0
2,3,LU8321W,0.0,0.0,0.0,0.0
3,10,WL3133P,0.0,0.0,0.0,0.0
4,12,LB6532K,0.0,0.0,0.0,0.0
5,21,ND3116J,0.0,0.0,0.0,0.0
6,5,ZS8758M,0.0,0.0,0.0,0.0
7,22,SK9256X,0.0,0.0,0.0,0.0
8,8,SK5752N,0.0,0.0,0.0,0.0
9,1,KR5246J,0.0,0.0,0.0,0.0
10,24,KT0849H,0.0,0.0,0.0,0.0
11,6,WLI0304O,0.0,0.0,0.0,0.0
12,7,ND3121F,0.0,0.0,0.0,0.0
13,9,SK4319A,0.0,0.0,0.0,0.0
14,11,LB8387D,0.0,0.0,0.0,0.0
15,14,WXE1114V,0.0,0.0,0.0,0.0
16,2,DW2178L,0.0,0.0,0.0,0.0
17,30,LUB9264Z,0.0,0.0,0.0,0.0
18,18,WL6670G,0.0,0.0,0.0,0.0
19,16,WWL8523S,0.0,0.0,0.0,0.0
20,15,SK2445H,0.0,0.0,0.0,0.0
21,35,WP7919L,0.0,0.0,0.0,0.0
22,25,WXE3763C,0.0,0.0,0.0,0.0
23,17,WLI2699B,0.0,0.0,0.0,0.0
24,20,SK7404R,0.0,0.0,0.0,0.0
25,23,DW8219T,0.0,0.0,0.0,0.0
26,34,LU6108X,0.0,0.0,0.0,0.0
27,37,WP7896H,0.0,0.0,0.0,0.0
28,36,LU1384P,0.0,0.0,0.0,0.0
29,38,ND9352Y,0.0,0.0,0.0,0.0
30,26,LUB4051L,0.0,0.0,0.0,0.0
31,19,LUB1293D,0.0,0.0,0.0,0.0
32,43,WXE4088S,0.0,0.0,0.0,0.0
33,27,LU2866X,0.0,0.0,0.0,0.0
34,48,WX8622X,0.0,0.0,0.0,0.0
35,45,SZ5932T,0.0,0.0,0.0,0.0
36,28,DW7534H,0.0,0.0,0.0,0.0
37,39,KRA5649X,0.0,0.0,0.0,0.0
38,52,KR7820A,0.0,0.0,0.0,0.0
39,40,ND1003Q,0.0,0.0,0.0,0.0
40,42,LUB2699F,0.0,0.0,0.0,0.0
41,29,WL5994Z,0.0,0.0,0.0,0.0
42,55,SK7158R,0.0,0.0,0.0,0.0
43,31,KR8592B,0.0,0.0,0.0,0.0
44,54,ZS8763A,0.0,0.0,0.0,0.0
45,57,WLI0906T,0.0,0.0,0.0,0.0
46,46,WXE3603X,0.0,0.0,0.0,0.0
47,58,WLI1161N,0.0,0.0,0.0,0.0
48,49,SK9121H,0.0,0.0,0.0,0.0
49,51,DW5640R,0.0,0.0,0.0,0.0
50,53,LUB7330L,0.0,0.0,0.0,0.0
51,32,DW3686H,0.0,0.0,0.0,0.0
52,63,GD4909L,0.0,0.0,0.0,0.0
53,59,PO3459J,0.0,0.0,0.0,0.0
54,56,LUB7176J,0.0,0.0,0.0,0.0
55,60,LUB0194J,0.0,0.0,0.0,0.0
56,33,GD5257T,0.0,0.0,0.0,0.0
57,65,KR1288W,0.0,0.0,0.0,0.0
58,61,DW1363O,0.0,0.0,0.0,0.0
59,62,LB7493U,0.0,0.0,0.0,0.0
60,67,WL7016A,0.0,0.0,0.0,0.0
61,66,KR3256T,0.0,0.0,0.0,0.0
62,64,WLI8972T,0.0,0.0,0.0,0.0
63,71,WRA0304B,0.0,0.0,0.0,0.0
64,68,GD4630L,0.0,0.0,0.0,0.0
65,74,SZ8927X,0.0,0.0,0.0,0.0
66,72,WRA7021F,0.0,0.0,0.0,0.0
67,41,WXE8322J,0.0,0.0,0.0,0.0
68,44,WP2419B,0.0,0.0,0.0,0.0
69,47,ZS2145O,0.0,0.0,0.0,0.0
70,50,LUB6041A,0.0,0.0,0.0,0.0
71,78,PO7221C,0.0,0.0,0.0,0.0
72,82,WLI2004O,0.0,0.0,0.0,0.0
73,70,SZ8447W,0.0,0.0,0.0,0.0
74,88,ND7590E,0.0,0.0,0.0,0.0
75,76,WXE8588B,0.0,0.0,0.0,0.0
76,73,WWL1407H,0.0,0.0,0.0,0.0
77,69,WRA5404E,0.0,0.0,0.0,0.0
78,75,WLI5520G,0.0,0.0,0.0,0.0
79,93,SK7948M,0.0,0.0,0.0,0.0
80,85,SZ0582K,0.0,0.0,0.0,0.0
81,77,KR7675I,0.0,0.0,0.0,0.0
82,86,KT5039R,0.0,0.0,0.0,0.0
83,79,WRA6536I,0.0,0.0,0.0,0.0
84,80,DW5428O,0.0,0.0,0.0,0.0
85,87,DW7720S,0.0,0.0,0.0,0.0
86,96,WX9995X,0.0,0.0,0.0,0.0
87,89,SZ5500I,0.0,0.0,0.0,0.0
88,94,KR0642K,0.0,0.0,0.0,0.0
89,90,ND6208S,0.0,0.0,0.0,0.0
90,98,KRA7939H,0.0,0.0,0.0,0.0
91,81,PO1797H,0.0,0.0,0.0,0.0
92,95,PO8908A,0.0,0.0,0.0,0.0
93,91,WP1265D,0.0,0.0,0.0,0.0
94,104,KR5136U,0.0,0.0,0.0,0.0
95,100,KRA4149H,0.0,0.0,0.0,0.0
96,106,WXE2270U,0.0,0.0,0.0,0.0
97,109,ZS6774L,0.0,0.0,0.0,0.0
98,114,WXE1047X,0.0,0.0,0.0,0.0
99,97,WRA4184N,0.0,0.0,0.0,0.0
100,99,KRA8000K,0.0,0.0,0.0,0.0
101,83,WLI2287A,0.0,0.0,0.0,0.0
102,84,WX3996C,0.0,0.0,0.0,0.0
103,118,KR7580B,0.0,0.0,0.0,0.0
104,101,WLI4715T,0.0,0.0,0.0,0.0
105,102,GD5667Y,0.0,0.0,0.0,0.0
106,107,WRA1398H,0.0,0.0,0.0,0.0
107,121,WX6972E,0.0,0.0,0.0,0.0
108,92,KT6731O,0.0,0.0,0.0,0.0
109,105,SZ9694T,0.0,0.0,0.0,0.0
110,103,KR4541L,0.0,0.0,0.0,0.0
111,122,PO2263E,0.0,0.0,0.0,0.0
112,116,DW7592R,0.0,0.0,0.0,0.0
113,120,ND4327C,0.0,0.0,0.0,0.0
114,134,ND7237L,0.0,0.0,0.0,0.0
115,111,WWL5505G,0.0,0.0,0.0,0.0
116,108,WXE7452Q,0.0,0.0,0.0,0.0
117,113,SZ4034V,0.0,0.0,0.0,0.0
118,126,PO3276I,0.0,0.0,0.0,0.0
119,127,WL5059I,0.0,0.0,0.0,0.0
120,119,LU5066O,0.0,0.0,0.0,0.0
121,110,KT4836S,0.0,0.0,0.0,0.0
122,125,LU8544G,0.0,0.0,0.0,0.0
123,112,WL8049L,0.0,0.0,0.0,0.0
124,131,WWL8192M,0.0,0.0,0.0,0.0
125,128,KRA8087A,0.0,0.0,0.0,0.0
126,136,SZ4702H,0.0,0.0,0.0,0.0
127,137,LUB1271S,0.0,0.0,0.0,0.0
128,138,LB9835U,0.0,0.0,0.0,0.0
129,140,KRA7201M,0.0,0.0,0.0,0.0
130,146,SK0010K,0.0,0.0,0.0,0.0
131,161,WXE7534C,0.0,0.0,0.0,0.0
132,115,LB4360J,0.0,0.0,0.0,0.0
133,130,WX6900T,0.0,0.0,0.0,0.0
134,141,ZS5578E,0.0,0.0,0.0,0.0
135,133,WRA8910E,0.0,0.0,0.0,0.0
136,117,WX7471C,0.0,0.0,0.0,0.0
137,147,KRA3376S,0.0,0.0,0.0,0.0
138,150,LUB6308Z,0.0,0.0,0.0,0.0
139,135,ZS2381S,0.0,0.0,0.0,0.0
140,123,WLI5823W,0.0,0.0,0.0,0.0
141,124,KR6702W,0.0,0.0,0.0,0.0
142,129,WLI8788D,0.0,0.0,0.0,0.0
143,162,SK8077R,0.0,0.0,0.0,0.0
144,139,KR3809E,0.0,0.0,0.0,0.0
145,165,WRA1147C,0.0,0.0,0.0,0.0
146,153,WL8190B,0.0,0.0,0.0,0.0
147,132,DW2688Q,0.0,0.0,0.0,0.0
148,142,LUB6685X,0.0,0.0,0.0,0.0
149,168,WRA2735R,0.0,0.0,0.0,0.0
150,155,DW8701S,0.0,0.0,0.0,0.0
155,145,WLI9760G,0.0,0.0,0.0,0.0
156,169,KRA9105P,0.0,0.0,0.0,0.0
157,157,ND8514G,0.0,0.0,0.0,0.0
174,170,WP7276B,1504.2710000000002,0.0,0.0,1504.2710000000002
175,4,PO6986J,0.0,0.0,0.0,0.0
176,3,LU8321W,0.0,0.0,0.0,0.0
177,10,WL3133P,0.0,0.0,0.0,0.0
178,12,LB6532K,0.0,0.0,0.0,0.0
179,21,ND3116J,0.0,0.0,0.0,0.0
180,5,ZS8758M,0.0,0.0,0.0,0.0
181,22,SK9256X,0.0,0.0,0.0,0.0
182,8,SK5752N,0.0,0.0,0.0,0.0
183,1,KR5246J,0.0,0.0,0.0,0.0
184,24,KT0849H,0.0,0.0,0.0,0.0
185,6,WLI0304O,0.0,0.0,0.0,0.0
186,7,ND3121F,0.0,0.0,0.0,0.0
187,9,SK4319A,0.0,0.0,0.0,0.0
188,11,LB8387D,0.0,0.0,0.0,0.0
189,14,WXE1114V,0.0,0.0,0.0,0.0
190,2,DW2178L,0.0,0.0,0.0,0.0
191,30,LUB9264Z,0.0,0.0,0.0,0.0
192,18,WL6670G,0.0,0.0,0.0,0.0
193,16,WWL8523S,0.0,0.0,0.0,0.0
194,15,SK2445H,0.0,0.0,0.0,0.0
195,35,WP7919L,0.0,0.0,0.0,0.0
196,25,WXE3763C,0.0,0.0,0.0,0.0
197,17,WLI2699B,0.0,0.0,0.0,0.0
198,20,SK7404R,0.0,0.0,0.0,0.0
199,23,DW8219T,0.0,0.0,0.0,0.0
200,34,LU6108X,0.0,0.0,0.0,0.0
201,37,WP7896H,0.0,0.0,0.0,0.0
202,36,LU1384P,0.0,0.0,0.0,0.0
203,38,ND9352Y,0.0,0.0,0.0,0.0
204,26,LUB4051L,0.0,0.0,0.0,0.0
205,19,LUB1293D,0.0,0.0,0.0,0.0
206,43,WXE4088S,0.0,0.0,0.0,0.0
207,27,LU2866X,0.0,0.0,0.0,0.0
208,48,WX8622X,0.0,0.0,0.0,0.0
209,45,SZ5932T,0.0,0.0,0.0,0.0
210,28,DW7534H,0.0,0.0,0.0,0.0
211,39,KRA5649X,0.0,0.0,0.0,0.0
212,52,KR7820A,0.0,0.0,0.0,0.0
213,40,ND1003Q,0.0,0.0,0.0,0.0
214,42,LUB2699F,0.0,0.0,0.0,0.0
215,29,WL5994Z,0.0,0.0,0.0,0.0
216,55,SK7158R,0.0,0.0,0.0,0.0
217,31,KR8592B,0.0,0.0,0.0,0.0
218,54,ZS8763A,0.0,0.0,0.0,0.0
219,57,WLI0906T,0.0,0.0,0.0,0.0
220,46,WXE3603X,0.0,0.0,0.0,0.0
221,58,WLI1161N,0.0,0.0,0.0,0.0
222,49,SK9121H,0.0,0.0,0.0,0.0
223,51,DW5640R,0.0,0.0,0.0,0.0
224,53,LUB7330L,0.0,0.0,0.0,0.0
225,32,DW3686H,0.0,0.0,0.0,0.0
226,63,GD4909L,0.0,0.0,0.0,0.0
227,59,PO3459J,0.0,0.0,0.0,0.0
228,56,LUB7176J,0.0,0.0,0.0,0.0
229,60,LUB0194J,0.0,0.0,0.0,0.0
230,33,GD5257T,0.0,0.0,0.0,0.0
231,65,KR1288W,0.0,0.0,0.0,0.0
232,61,DW1363O,0.0,0.0,0.0,0.0
233,62,LB7493U,0.0,0.0,0.0,0.0
234,67,WL7016A,0.0,0.0,0.0,0.0
235,66,KR3256T,0.0,0.0,0.0,0.0
236,64,WLI8972T,0.0,0.0,0.0,0.0
237,71,WRA0304B,0.0,0.0,0.0,0.0
238,68,GD4630L,0.0,0.0,0.0,0.0
239,74,SZ8927X,0.0,0.0,0.0,0.0
240,72,WRA7021F,0.0,0.0,0.0,0.0
241,41,WXE8322J,0.0,0.0,0.0,0.0
242,44,WP2419B,0.0,0.0,0.0,0.0
243,47,ZS2145O,0.0,0.0,0.0,0.0
244,50,LUB6041A,0.0,0.0,0.0,0.0
245,78,PO7221C,0.0,0.0,0.0,0.0
246,82,WLI2004O,0.0,0.0,0.0,0.0
247,70,SZ8447W,0.0,0.0,0.0,0.0
248,88,ND7590E,0.0,0.0,0.0,0.0
249,76,WXE8588B,0.0,0.0,0.0,0.0
250,73,WWL1407H,0.0,0.0,0.0,0.0
251,69,WRA5404E,0.0,0.0,0.0,0.0
252,75,WLI5520G,0.0,0.0,0.0,0.0
253,93,SK7948M,0.0,0.0,0.0,0.0
254,85,SZ0582K,0.0,0.0,0.0,0.0
255,77,KR7675I,0.0,0.0,0.0,0.0
256,86,KT5039R,0.0,0.0,0.0,0.0
257,79,WRA6536I,0.0,0.0,0.0,0.0
258,80,DW5428O,0.0,0.0,0.0,0.0
259,87,DW7720S,0.0,0.0,0.0,0.0
260,96,WX9995X,0.0,0.0,0.0,0.0
261,89,SZ5500I,0.0,0.0,0.0,0.0
262,94,KR0642K,0.0,0.0,0.0,0.0
263,90,ND6208S,0.0,0.0,0.0,0.0
264,98,KRA7939H,0.0,0.0,0.0,0.0
265,81,PO1797H,0.0,0.0,0.0,0.0
266,95,PO8908A,0.0,0.0,0.0,0.0
267,91,WP1265D,0.0,0.0,0.0,0.0
268,104,KR5136U,0.0,0.0,0.0,0.0
269,100,KRA4149H,0.0,0.0,0.0,0.0
270,106,WXE2270U,0.0,0.0,0.0,0.0
271,109,ZS6774L,0.0,0.0,0.0,0.0
272,114,WXE1047X,0.0,0.0,0.0,0.0
273,97,WRA4184N,0.0,0.0,0.0,0.0
274,99,KRA8000K,0.0,0.0,0.0,0.0
275,83,WLI2287A,0.0,0.0,0.0,0.0
276,84,WX3996C,0.0,0.0,0.0,0.0
277,118,KR7580B,0.0,0.0,0.0,0.0
278,101,WLI4715T,0.0,0.0,0.0,0.0
279,102,GD5667Y,0.0,0.0,0.0,0.0
280,107,WRA1398H,0.0,0.0,0.0,0.0
281,121,WX6972E,0.0,0.0,0.0,0.0
282,92,KT6731O,0.0,0.0,0.0,0.0
283,105,SZ9694T,0.0,0.0,0.0,0.0
284,103,KR4541L,0.0,0.0,0.0,0.0
285,122,PO2263E,0.0,0.0,0.0,0.0
286,116,DW7592R,0.0,0.0,0.0,0.0
